Case_Name,Case_ID,Start_Year,Start_Month,Inspector_ID,Solved/Unsolved,Name,Rank,Police_Station_Name,Station_ID,Case_ID,Crime location
Rape,2022501,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022501,"18.996724, 72.974125"
Murder,2022519,2023,3,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022519,"19.079790, 73.005757"
Suicide,2022531,2022,9,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022531,"19.240002, 72.939759"
Robbery,2022545,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022545,"19.221097, 72.698122"
Kidnapping,2022557,2022,4,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022557,"19.169472, 72.829930"
Kidnapping,2022579,2023,7,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022579,"19.060331, 72.966403"
Rape,2022581,2024,7,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022581,"19.032795, 72.719010"
Suicide,2022600,2024,6,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022600,"19.074324, 72.770121"
Suicide,2022608,2022,6,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022608,"19.147280, 72.950981"
Kidnapping,2022626,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022626,"19.296445, 72.856975"
Murder,2022668,2024,3,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022668,"19.236825, 72.730443"
Murder,2022669,2022,10,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022669,"19.157219, 72.997108"
Murder,2022679,2022,11,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022679,"19.140679, 72.946287"
Robbery,2022698,2022,12,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022698,"19.119936, 72.792575"
Suicide,2022717,2022,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022717,"19.157921, 72.836491"
Drink and Drive,2022745,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022745,"18.982936, 72.729195"
Robbery,2022765,2024,8,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022765,"19.287048, 72.819112"
Drink and Drive,2022806,2023,9,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022806,"19.080255, 72.840423"
Rape,2022858,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022858,"19.091237, 72.942636"
Murder,2022886,2023,11,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022886,"19.052358, 72.925502"
Rape,2022896,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022896,"19.115996, 72.857152"
Violence,2022930,2024,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022930,"19.027695, 72.834466"
Drink and Drive,2022940,2023,8,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022940,"19.116357, 72.866399"
Robbery,2022945,2022,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022945,"19.099777, 72.743221"
Suicide,2022996,2022,5,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022996,"19.266680, 72.949980"
Kidnapping,2023023,2022,3,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023023,"19.213412, 72.887926"
Violence,2023059,2023,4,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023059,"19.169706, 72.720282"
Violence,2023167,2023,6,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023167,"18.984376, 72.967844"
Rape,2023171,2024,6,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023171,"18.960091, 72.918854"
Murder,2023190,2024,7,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023190,"19.025436, 72.944378"
Kidnapping,2023226,2022,2,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023226,"19.057194, 72.897812"
Rape,2023236,2022,10,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023236,"19.071771, 72.716233"
Murder,2023245,2024,8,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023245,"19.164313, 72.757940"
Drink and Drive,2023268,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023268,"19.176585, 72.672319"
Rape,2023278,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023278,"19.129991, 72.737064"
Murder,2023288,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023288,"19.068866, 72.666531"
Violence,2023335,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023335,"19.103499, 72.677042"
Robbery,2023365,2023,6,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023365,"19.106621, 72.940017"
Murder,2023386,2023,7,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023386,"19.289240, 72.874419"
Rape,2023389,2022,4,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023389,"19.087078, 72.800532"
Drink and Drive,2023413,2022,9,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023413,"19.109388, 72.858414"
Murder,2023470,2022,5,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023470,"18.985230, 72.780760"
Drink and Drive,2023499,2022,5,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023499,"19.182385, 72.778499"
Drink and Drive,2023512,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023512,"19.006217, 72.796661"
Murder,2023578,2024,3,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023578,"19.001811, 72.968893"
Violence,2023598,2024,11,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023598,"19.080449, 72.681152"
Murder,2023604,2022,5,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023604,"18.947021, 72.857367"
Drink and Drive,2023654,2024,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023654,"19.139382, 72.731483"
Violence,2023671,2022,8,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023671,"18.964833, 72.812714"
Robbery,2023685,2022,2,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023685,"19.102052, 72.675394"
Robbery,2023689,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023689,"19.100832, 72.684599"
Suicide,2023701,2023,5,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023701,"19.231804, 72.877915"
Kidnapping,2023705,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023705,"19.114776, 72.696995"
Robbery,2023730,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023730,"19.219132, 72.739617"
Murder,2023799,2024,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2023799,"19.131534, 72.705410"
Suicide,2023814,2023,4,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023814,"18.964619, 72.790454"
Murder,2023819,2024,9,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023819,"19.143167, 72.926126"
Drink and Drive,2023843,2024,1,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023843,"19.134207, 72.754456"
Robbery,2023877,2023,8,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023877,"18.998638, 72.869238"
Rape,2023893,2023,4,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023893,"19.066248, 72.887999"
Suicide,2023911,2024,12,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023911,"19.147892, 72.968736"
Murder,2023946,2022,6,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023946,"19.110928, 72.678439"
Rape,2023968,2022,5,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023968,"19.021088, 72.894819"
Robbery,2023987,2025,1,1004,Unsolved,Vikram Singh,Inspector,Andheri West,PS002,2023987,"19.065397, 72.823984"
Drink and Drive,2022063,2022,4,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022063,"18.993990, 72.754226"
Suicide,2022094,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022094,"19.050150, 72.886397"
Robbery,2022133,2024,12,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022133,"19.049299, 72.950805"
Robbery,2022140,2023,5,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022140,"18.965886, 72.980895"
Robbery,2022175,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022175,"19.022486, 72.792641"
Rape,2022199,2022,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022199,"19.039559, 72.809874"
Drink and Drive,2022201,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022201,"18.947338, 72.887771"
Rape,2022203,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022203,"18.965567, 72.741692"
Rape,2022223,2024,9,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022223,"18.960862, 72.776277"
Drink and Drive,2022256,2024,5,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022256,"19.067642, 72.760254"
Kidnapping,2022279,2024,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022279,"18.966255, 72.747270"
Rape,2022295,2024,7,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022295,"19.003679, 72.809858"
Rape,2022297,2022,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022297,"18.905010, 72.920259"
Suicide,2022305,2023,9,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022305,"18.900702, 72.854862"
Rape,2022328,2022,2,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022328,"18.925322, 72.843447"
Drink and Drive,2022373,2024,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022373,"19.085296, 72.725303"
Kidnapping,2022383,2022,3,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022383,"19.104377, 72.909068"
Murder,2022423,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022423,"19.030326, 72.732946"
Violence,2022431,2022,6,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022431,"19.101312, 72.999797"
Kidnapping,2022448,2024,8,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022448,"18.970993, 72.865806"
Kidnapping,2022537,2022,3,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022537,"19.081488, 72.936192"
Kidnapping,2022544,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022544,"19.050107, 72.992166"
Kidnapping,2022555,2023,7,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022555,"19.007937, 72.991330"
Rape,2022596,2024,8,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022596,"19.030393, 72.934124"
Suicide,2022624,2024,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022624,"19.101930, 72.721197"
Violence,2022633,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022633,"19.118107, 73.015460"
Suicide,2022676,2024,12,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022676,"19.065979, 72.708179"
Robbery,2022688,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022688,"19.191444, 72.910928"
Drink and Drive,2022725,2022,5,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022725,"19.057157, 73.027941"
Kidnapping,2022751,2023,11,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022751,"19.153874, 72.857971"
Rape,2022768,2023,7,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022768,"19.148317, 72.736312"
Murder,2022839,2023,12,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022839,"19.194919, 72.740176"
Suicide,2022923,2024,9,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022923,"19.109246, 73.028363"
Robbery,2022961,2022,2,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022961,"19.050202, 72.921431"
Suicide,2022975,2024,9,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2022975,"18.936098, 72.737052"
Suicide,2023000,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023000,"18.951958, 72.923755"
Robbery,2023006,2022,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023006,"18.932148, 72.950339"
Violence,2023020,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023020,"18.895851, 72.902725"
Drink and Drive,2023022,2024,3,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023022,"19.201589, 72.935166"
Suicide,2023041,2023,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023041,"19.093916, 72.962136"
Rape,2023080,2023,7,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023080,"19.087517, 72.717513"
Kidnapping,2023107,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023107,"19.045991, 72.830074"
Drink and Drive,2023126,2023,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023126,"19.046383, 72.831631"
Murder,2023152,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023152,"19.149869, 72.908513"
Robbery,2023169,2024,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023169,"19.063231, 72.669944"
Murder,2023203,2022,8,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023203,"19.056966, 72.713742"
Kidnapping,2023205,2023,9,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023205,"19.064788, 72.849750"
Violence,2023300,2022,11,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023300,"19.133842, 72.777718"
Murder,2023380,2022,3,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023380,"19.063267, 72.778687"
Violence,2023418,2024,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023418,"19.046004, 72.861564"
Violence,2023448,2024,4,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023448,"19.079442, 73.016733"
Kidnapping,2023456,2022,11,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023456,"19.175251, 72.884655"
Murder,2023475,2022,4,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023475,"19.037131, 72.930210"
Kidnapping,2023483,2024,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023483,"18.936736, 72.721681"
Rape,2023552,2023,2,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023552,"19.186942, 72.958269"
Kidnapping,2023590,2024,4,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023590,"18.953583, 72.718486"
Kidnapping,2023599,2023,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023599,"19.168380, 72.740809"
Murder,2023616,2023,9,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023616,"19.175506, 72.919077"
Kidnapping,2023641,2022,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023641,"18.962190, 72.714239"
Robbery,2023646,2024,6,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023646,"18.992442, 72.825705"
Murder,2023651,2022,10,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023651,"19.175743, 72.787312"
Drink and Drive,2023652,2024,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023652,"19.056276, 72.678419"
Murder,2023667,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023667,"18.911475, 72.782130"
Drink and Drive,2023707,2023,7,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023707,"19.016438, 72.924771"
Drink and Drive,2023758,2025,1,1007,Solved,Sunil Patil,Inspector,Bandra East,PS003,2023758,"18.941971, 72.850147"
Murder,2023816,2025,1,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023816,"18.994814, 72.735359"
Suicide,2023825,2022,10,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023825,"19.153434, 73.007287"
Drink and Drive,2023846,2024,2,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023846,"19.025720, 73.023810"
Kidnapping,2023873,2024,11,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023873,"19.032207, 72.999666"
Robbery,2023892,2025,1,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023892,"19.184426, 72.809801"
Murder,2023901,2025,1,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023901,"19.079886, 72.816435"
Murder,2023915,2022,12,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023915,"19.088791, 72.759391"
Murder,2023967,2023,4,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023967,"18.913438, 72.843919"
Kidnapping,2023972,2022,5,1007,Unsolved,Sunil Patil,Inspector,Bandra East,PS003,2023972,"19.091220, 72.715928"
Rape,2022004,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022004,"19.185397, 72.770405"
Murder,2022010,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022010,"19.232065, 73.054504"
Suicide,2022018,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022018,"19.287734, 73.011980"
Rape,2022021,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022021,"19.174894, 72.972314"
Kidnapping,2022085,2022,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022085,"18.965944, 72.917757"
Suicide,2022098,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022098,"19.106504, 72.814976"
Rape,2022151,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022151,"18.966680, 72.919730"
Robbery,2022157,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022157,"19.264298, 72.807879"
Suicide,2022163,2022,2,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022163,"19.095918, 72.885637"
Rape,2022165,2024,2,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022165,"19.210248, 73.055537"
Drink and Drive,2022172,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022172,"19.252639, 72.941144"
Rape,2022181,2023,8,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022181,"19.212990, 73.068464"
Robbery,2022185,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022185,"19.285312, 72.926606"
Rape,2022204,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022204,"19.254749, 72.825958"
Kidnapping,2022218,2022,6,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022218,"19.178177, 72.872999"
Drink and Drive,2022239,2023,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022239,"19.180006, 73.067896"
Drink and Drive,2022252,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022252,"19.056731, 72.886613"
Rape,2022298,2023,7,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022298,"19.234926, 72.994378"
Drink and Drive,2022312,2023,5,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022312,"19.205935, 72.845796"
Drink and Drive,2022347,2024,8,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022347,"19.067840, 72.925698"
Murder,2022390,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022390,"19.203630, 72.867715"
Murder,2022391,2023,8,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022391,"19.041488, 72.993442"
Suicide,2022392,2022,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022392,"19.240539, 73.029278"
Violence,2022400,2022,10,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022400,"19.116997, 72.919731"
Murder,2022417,2023,8,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022417,"19.007547, 73.036092"
Murder,2022426,2022,11,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022426,"19.214409, 73.038641"
Drink and Drive,2022460,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022460,"18.971657, 72.891327"
Murder,2022462,2022,12,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022462,"19.297688, 72.975827"
Drink and Drive,2022533,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022533,"19.152974, 73.101537"
Rape,2022561,2023,3,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022561,"19.005541, 73.022141"
Robbery,2022629,2024,5,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022629,"19.144218, 72.875221"
Violence,2022632,2024,8,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022632,"19.154127, 72.907313"
Rape,2022641,2023,11,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022641,"18.988227, 73.004559"
Kidnapping,2022671,2023,6,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022671,"19.255731, 73.003363"
Rape,2022678,2022,2,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022678,"19.088850, 72.839758"
Robbery,2022692,2022,7,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022692,"19.046555, 72.839315"
Rape,2022696,2022,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022696,"19.272218, 72.868481"
Drink and Drive,2022700,2023,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022700,"19.050499, 73.056459"
Robbery,2022706,2024,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022706,"19.114399, 72.939090"
Suicide,2022767,2023,8,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022767,"19.196749, 73.084994"
Murder,2022859,2022,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022859,"19.044985, 72.918052"
Kidnapping,2022869,2024,12,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022869,"19.036357, 72.941361"
Murder,2022955,2023,7,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022955,"19.067585, 73.105374"
Robbery,2022995,2024,11,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2022995,"19.062999, 72.981451"
Kidnapping,2023014,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023014,"19.014824, 73.028111"
Murder,2023035,2022,12,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023035,"19.160948, 73.025826"
Violence,2023053,2022,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023053,"19.148996, 72.813746"
Kidnapping,2023091,2024,2,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023091,"19.018963, 73.004917"
Rape,2023097,2022,11,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023097,"19.246765, 73.060525"
Suicide,2023102,2023,4,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023102,"19.273799, 72.830028"
Robbery,2023108,2022,11,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023108,"19.199307, 72.965218"
Murder,2023123,2024,8,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023123,"19.178455, 73.004606"
Robbery,2023129,2024,9,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023129,"19.062053, 72.908446"
Murder,2023150,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023150,"19.035375, 72.906917"
Drink and Drive,2023186,2024,7,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023186,"19.126483, 73.087620"
Rape,2023209,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023209,"19.133376, 72.996040"
Rape,2023228,2023,3,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023228,"19.244579, 73.002129"
Drink and Drive,2023307,2023,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023307,"19.295586, 72.879840"
Robbery,2023326,2023,6,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023326,"19.193462, 72.938352"
Suicide,2023327,2025,1,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023327,"19.141241, 73.121067"
Robbery,2023341,2023,12,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023341,"19.014709, 73.035979"
Rape,2023342,2024,2,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023342,"19.188140, 72.929880"
Violence,2023371,2022,5,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023371,"19.090461, 72.982932"
Suicide,2023439,2023,5,1055,Solved,Richa Iyer,Inspector,Bhandup,PS019,2023439,"19.154644, 72.884057"
